TARGET_CLASS,search_budget,Total_Time,Length,Size,LineCoverage,BranchCoverage,OutputCoverage,WeakMutationScore,Implicit_MethodExceptions,MutationScore
eu.supersede.integration.api.mdm.types.KafkaTopic,60,1955,8,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.mdm.types.OperatorTypes,60,61592,2,1,0.25,1.0,0.125,1.0,0,1.0
eu.supersede.integration.api.mdm.types.Parameter,60,2068,19,7,1.0,1.0,1.0,1.0,0,0.6666666666666666
eu.supersede.integration.api.mdm.types.PredicatesTypes,60,61537,2,1,0.25,1.0,0.125,1.0,0,1.0
eu.supersede.integration.api.mdm.types.Release,60,3697,71,27,1.0,1.0,1.0,1.0,0,0.92
eu.supersede.integration.api.monitoring.manager.types.AppStoreMonitorConfiguration,60,3235,8,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.DiskMonitorConfiguration,60,63816,24,8,1.0,1.0,0.8333333333333334,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.GooglePlayMonitorConfiguration,60,3002,8,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.HttpMonitorConfiguration,60,3455,14,5,1.0,1.0,1.0,1.0,0,0.8333333333333334
eu.supersede.integration.api.monitoring.manager.types.HttpMonitorConfigurationFile,60,63929,52,16,1.0,1.0,0.9,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.Instruction,60,2100,14,6,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.MarketPlaceMonitorConfiguration,60,2795,1,1,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.MonitorConfiguration,60,3135,6,2,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.MonitorSpecificConfiguration,60,64012,62,18,1.0,1.0,0.9047619047619048,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.MonitorSpecificConfigurationResult,60,2337,30,10,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.QoSMonitorConfiguration,60,2566,1,1,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.SocialNetworkMonitorConfiguration,60,2728,1,1,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.monitoring.manager.types.TwitterMonitorConfiguration,60,63436,15,5,1.0,1.0,0.7777777777777778,1.0,0,1.0
eu.supersede.integration.api.monitoring.orchestrator.types.MonitorConfiguration,60,65577,131,45,1.0,1.0,0.9574468085106383,1.0,0,1.0
eu.supersede.integration.api.monitoring.orchestrator.types.MonitorTool,60,63922,56,17,1.0,1.0,0.95,1.0,0,1.0
eu.supersede.integration.api.monitoring.orchestrator.types.MonitorType,60,63635,34,10,1.0,1.0,0.9230769230769231,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.AddFeaturesForProjectPayload,60,64546,29,9,1.0,1.0,0.7333333333333333,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Constraint,60,2738,31,10,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Feature,60,64202,80,22,1.0,1.0,0.8666666666666667,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.FeatureStatus,60,61624,3,2,1.0,1.0,0.25,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.FeatureWP3,60,63970,60,17,1.0,1.0,0.7777777777777778,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Format,60,61596,2,1,0.25,1.0,0.125,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Job,60,64195,74,22,1.0,1.0,0.9230769230769231,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Plan,60,69366,66,18,1.0,1.0,0.8461538461538461,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Priority,60,61639,4,2,0.4,1.0,0.16666666666666666,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Project,60,63496,45,13,1.0,1.0,0.8823529411764706,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Property,60,2453,22,8,1.0,1.0,1.0,1.0,0,0.8571428571428571
eu.supersede.integration.api.replan.controller.types.Release,60,67074,21,6,1.0,1.0,0.8,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.ReplanBaseObject,60,6865,16,6,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.ReplanIdentifiableObject,60,18783,15,4,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Resource,60,65151,25,7,1.0,1.0,0.8,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.Skill,60,1578,1,1,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.controller.types.SoftDependency,60,2275,23,7,1.0,1.0,1.0,1.0,0,0.5
eu.supersede.integration.api.replan.controller.types.SoftDependencyType,60,61552,2,1,0.25,1.0,0.125,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.AlgorithmParameters,60,2733,63,18,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.AlgorithmType,60,62023,11,10,0.7272727272727273,0.8571428571428571,0.5,0.8305084745762712,1,0.5423728813559322
eu.supersede.integration.api.replan.optimizer.types.Feature,60,63531,45,13,1.0,1.0,0.8095238095238095,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.NextReleaseProblem,60,63917,57,16,1.0,1.0,0.8333333333333334,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.PlannedFeature,60,3878,50,15,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.PlanningSolution,60,62932,9,2,1.0,1.0,0.6666666666666666,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.Priority,60,2130,28,8,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.Resource,60,63293,30,9,1.0,1.0,0.8461538461538461,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer.types.Skill,60,1999,8,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.AlgorithmParameters,60,2845,62,18,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.AlgorithmType,60,62122,11,10,0.7272727272727273,0.8571428571428571,0.5,0.8305084745762712,1,0.5423728813559322
eu.supersede.integration.api.replan.optimizer_v2.types.Feature,60,63766,47,14,1.0,1.0,0.8095238095238095,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.NextReleaseProblem,60,64037,57,16,1.0,1.0,0.8333333333333334,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.PlannedFeature,60,4374,50,15,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.PlanningSolution,60,63250,9,2,1.0,1.0,0.6666666666666666,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.Priority,60,2308,28,8,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.Resource,60,63765,31,9,1.0,1.0,0.8461538461538461,1.0,0,1.0
eu.supersede.integration.api.replan.optimizer_v2.types.Skill,60,1875,8,3,1.0,1.0,1.0,1.0,0,1.0
eu.supersede.integration.api.security.types.AuthorizationToken,60,2480,35,13,1.0,1.0,1.0,1.0,0,0.8636363636363636
eu.supersede.integration.api.security.types.Role,60,64927,68,21,1.0,1.0,0.8076923076923077,0.9512195121951219,6,0.8536585365853658
eu.supersede.integration.api.security.types.User,60,70359,332,79,1.0,0.8619246861924686,0.8166666666666667,0.8584070796460177,6,0.3893805309734513
eu.supersede.integration.api.datastore.util.PasswordCrypt,60,63983,37,23,0.8260869565217391,0.9166666666666666,0.5,0.8909090909090909,6,0.8242424242424242
